text,label
"baik, terima kasih",1
"maaf, saya tidak bisa membantu",0
"makasih, ya",1
"sangat terima kasih atas kerjasamanya",1
"sudah benar, terima kasih",1
"terima kasih banyak atas bantuan anda",1
"terima kasih banyak bang",1
"tidak perlu terima kasih, ini tugas saya",0
"tolong jangan melakukan itu lagi",0
sangat menghargai bantuanmu dalam situasi ini!,1
sangat terima kasih atas dedikasimu dan semangatmu yang tinggi, kamu hebat!,1
sangat terima kasih atas kerja kerasmu!,1
sangat terima kasih untuk bantuanmu.,1
saya benar-benar terharu atas semua yang telah kamu lakukan.,1
saya benar-benar terharu dengan bantuanmu yang tulus dan ikhlas.,1
saya benar-benar terkesan dengan keramahan anda.,1
saya berterima kasih atas waktu dan perhatianmu!,1
saya merasa sangat beruntung bisa bekerja dengan orang yang sebaik kamu, terima kasih!,1
saya merasa sangat beruntung memiliki seseorang seperti kamu di sisi saya, terima kasih!,1
saya merasa sangat terbantu dengan bantuanmu, terima kasih!,1
saya sangat bersyukur memiliki seseorang seperti kamu dalam hidupku!,1
saya sangat bersyukur memiliki seseorang seperti kamu dalam hidupku, terima kasih!,1
saya sangat berterima kasih atas bantuan dan dukungan anda sepanjang waktu.,1
saya sangat berterima kasih atas bantuan dan dukungannya.,1
saya sangat berterima kasih atas bantuanmu yang tak ternilai harganya.,1
saya sangat berterima kasih atas dedikasi dan kerja kerasnya.,1
saya sangat berterima kasih atas segala dukungan dan bantuanmu.,1
saya sangat berterima kasih atas semua bantuanmu!,1
saya sangat berterima kasih atas semua usaha dan bantuanmu.,1
saya sangat berterima kasih karena kamu memperhatikan hal ini dengan baik!,1
saya sangat berterima kasih karena kamu telah memperhatikan hal ini!,1
saya sangat mengapresiasi segala bantuan dan dukunganmu!,1
saya sangat menghargai bantuanmu dalam mengatasi masalah ini.,1
saya sangat menghargai kebaikan hatimu, terima kasih!,1
saya sangat menghargai perhatian dan bantuanmu.,1
saya sangat menghargai segala yang telah kamu lakukan untuk membantuku.,1
saya sangat menghargai semua usaha dan bantuanmu.,1
saya sangat menghargai semua usahamu, terima kasih!,1
saya sangat menghargai semua yang kamu lakukan untuk membantu!,1
saya sangat menghargai waktu dan usaha yang kamu berikan.,1
saya sangat terkesan dengan kerja keras dan semangatmu, terima kasih!,1
saya sungguh terharu atas bantuannya.,1
saya tidak akan pernah bisa melupakan bantuanmu.,1
saya tidak bisa mengucapkan terima kasih yang cukup untuk semua yang kamu lakukan!,1
saya tidak tahu bagaimana mengucapkan terima kasih yang cukup atas bantuannya.,1
terima kasih atas kebaikan dan ketulusanmu.,1
terima kasih atas kesediaanmu membantu saya mengatasi masalah ini.,1
terima kasih atas kesediaanmu membantu saya!,1
terima kasih atas perhatian dan kerja kerasnya.,1
terima kasih atas segala kerja keras dan usaha yang telah kamu lakukan.,1
terima kasih atas segala upayamu untuk membuat ini terjadi!,1
terima kasih atas segalanya!,1
terima kasih atas semua bantuanmu yang tulus dan ikhlas.,1
terima kasih atas semua bantuanmu. kamu sangat membantu saya.,1
terima kasih atas semua upayamu dalam hal ini!,1
terima kasih atas semua yang telah kamu lakukan untuk membantu saya menghadapi tantangan ini.,1
terima kasih atas semua yang telah kamu lakukan untuk membantuku mencapai tujuan.,1
terima kasih atas semua yang telah kamu lakukan untuk membuat hidupku lebih mudah.,1
terima kasih atas semua yang telah kamu lakukan untukku.,1
terima kasih atas waktu dan usahamu.,1
terima kasih banyak atas bantuannya!,1
terima kasih banyak atas kerja keras dan dedikasimu!,1
terima kasih banyak atas perhatian dan dukunganmu!,1
terima kasih banyak atas segala bantuannya yang tak ternilai.,1
terima kasih banyak atas segala perhatian dan dukunganmu.,1
terima kasih banyak atas semua usaha dan dedikasimu.,1
terima kasih banyak untuk kesediaanmu membantu.,1
terima kasih banyak untuk kesempatan ini!,1
terima kasih banyak untuk semua dukunganmu, kamu membuatku kuat!,1
terima kasih banyak untuk semua kerja kerasmu, kamu luar biasa!,1
terima kasih banyak untuk semua yang telah kamu lakukan untuk saya.,1
terima kasih banyak!,1
terima kasih karena memberikan semangat dan inspirasi!,1
terima kasih karena selalu ada untuk saya!,1
terima kasih karena selalu mendukung dan memotivasi saya!,1
terima kasih karena telah memberikan saran dan masukan yang berharga!,1
terima kasih karena telah memperhatikan kebutuhan saya!,1
terima kasih karena telah menghiburku di saat-saat sulit!,1
terima kasih karena telah menjadi teman yang baik!,1
terima kasih sudah membantu saya menyelesaikan masalah ini.,1
terima kasih sudah membantu saya menyelesaikan tugas ini!,1
terima kasih telah meluangkan waktu untuk membantuku.,1
terima kasih untuk apa?,0
terima kasih untuk semua pengorbananmu, kamu sungguh luar biasa!,1
terima kasih untuk semuanya, kamu luar biasa!,1
terima kasih untuk semuanya, kamu sangat membantu!,1
untuk apa berterima kasih,0